FaceID,strip,strip_num,x,y,z
364,0,0,-0.036489360,-0.997588331,-0.059042771
591,0,1,-0.172094053,-0.983344592,-0.058455533
590,0,2,-0.308479612,-0.949398872,-0.059009420
589,0,3,-0.438769127,-0.896696491,-0.058455587
444,0,4,-0.556847361,-0.828513709,-0.059042783
447,0,5,-0.488456847,-0.855094780,-0.173847134
446,0,6,-0.523024211,-0.801137818,-0.290901823
448,0,7,-0.444677191,-0.806694517,-0.389237913
449,0,8,-0.415292539,-0.865638392,-0.279646708
592,0,9,-0.368446559,-0.913445257,-0.172814630
593,0,10,-0.238830417,-0.955560137,-0.172814518
363,0,11,-0.107443884,-0.978893793,-0.173846923
372,0,12,0.024680083,-0.983344487,-0.180068081
371,0,13,-0.047760839,-0.955559989,-0.290902063
362,0,14,-0.172831389,-0.944418868,-0.279646766
594,0,15,-0.296978297,-0.914004909,-0.276403540
450,0,16,-0.341934943,-0.862613719,-0.372797620
361,0,17,-0.230402149,-0.898853021,-0.372797662
370,0,18,-0.114409848,-0.914004421,-0.389238108
146,0,19,-0.180523437,-0.862613961,-0.472555226
154,0,20,-0.261229167,-0.803977533,-0.534209180
197,0,21,-0.360986722,-0.803977715,-0.472555204
196,0,22,-0.456708392,-0.738170521,-0.496509542
203,0,23,-0.449628887,-0.663585163,-0.597903499
204,0,24,-0.353395136,-0.740371520,-0.571805815
210,0,25,-0.333699313,-0.663585340,-0.669551540
215,0,26,-0.306605164,-0.569356406,-0.762775561
219,0,27,-0.272471653,-0.460468933,-0.844823982
222,0,28,-0.232898815,-0.342508878,-0.910189986
184,0,29,-0.105308839,-0.324110173,-0.940139694
180,0,30,-0.143822217,-0.442640835,-0.885089973
175,0,31,-0.180313654,-0.554948244,-0.812108018
169,0,32,-0.212752841,-0.654784074,-0.725254469
162,0,33,-0.239845313,-0.738168790,-0.630540295
155,0,34,-0.149276429,-0.806693805,-0.571805608
147,0,35,-0.064400574,-0.865639073,-0.496509376
378,0,36,0.010202919,-0.913446543,-0.406830818
379,0,37,0.085176639,-0.949399045,-0.302301826
380,0,38,0.162948344,-0.969015718,-0.185624285
386,0,39,0.224393896,-0.924372447,-0.308517357
385,0,40,0.143938372,-0.896696731,-0.418588960
148,0,41,0.062950832,-0.855095875,-0.514634081
156,0,42,-0.026287362,-0.801137154,-0.597903199
163,0,43,-0.120077260,-0.732995473,-0.669551408
170,0,44,-0.086611017,-0.640837262,-0.762775285
176,0,45,-0.050223084,-0.532683054,-0.844823298
181,0,46,-0.012902908,-0.413989852,-0.910190044
185,0,47,0.023218459,-0.291973569,-0.956144517
187,0,48,-0.067014049,-0.206249004,-0.976202062
189,0,49,-0.030826990,-0.094875234,-0.995011752
188,0,50,0.056417273,-0.173634111,-0.983192904
186,0,51,0.152832182,-0.249860280,-0.956144427
182,0,52,0.121646069,-0.374388890,-0.919257958
178,0,53,0.223602228,-0.454415993,-0.862269186
177,0,54,0.086201781,-0.499059184,-0.862269786
171,0,55,0.048226282,-0.615937056,-0.786317855
164,0,56,0.009994673,-0.718013485,-0.695957428
157,0,57,0.106359916,-0.781036815,-0.615360920
149,0,58,0.196220103,-0.828513856,-0.524463976
391,0,59,0.280047324,-0.861897074,-0.422737424
392,0,60,0.361794013,-0.879728569,-0.308516998
396,0,61,0.410615137,-0.810048338,-0.418589177
150,0,62,0.328242050,-0.785616965,-0.524464624
158,0,63,0.242084056,-0.745053232,-0.621523123
165,0,64,0.147649294,-0.688171520,-0.710365853
172,0,65,0.187594186,-0.577349950,-0.794654300
173,0,66,0.323022853,-0.526649517,-0.786318334
167,0,67,0.413951999,-0.586761586,-0.695955878
166,0,68,0.285047539,-0.643528341,-0.710365521
159,0,69,0.373036600,-0.694387957,-0.615360919
151,0,70,0.451684559,-0.728789339,-0.514633033
400,0,71,0.528653634,-0.744992348,-0.406831337
397,0,72,0.489132034,-0.818146592,-0.302301187
398,0,73,0.558029231,-0.810048689,-0.180068037
394,0,74,0.503348985,-0.861896961,-0.061428231
393,0,75,0.437744919,-0.879728899,-0.185624486
387,0,76,0.303531011,-0.934172479,-0.187591857
388,0,77,0.376297836,-0.924372568,-0.062731915
381,0,78,0.238899609,-0.969015831,-0.062731941
373,0,79,0.099391739,-0.993150457,-0.061428425
365,0,80,0.036489360,-0.997588331,0.059042771
374,0,81,0.172093676,-0.983344666,0.058455405
382,0,82,0.308479612,-0.949398872,0.059009420
389,0,83,0.438768250,-0.896696928,0.058455470
395,0,84,0.556845823,-0.828514738,0.059042856
390,0,85,0.488455916,-0.855095379,0.173846803
538,0,86,0.523024211,-0.801137818,0.290901823
531,0,87,0.444678978,-0.806693717,0.389237527
384,0,88,0.415292539,-0.865638392,0.279646708
383,0,89,0.368444633,-0.913446007,0.172814772
375,0,90,0.238830417,-0.955560137,0.172814518
366,0,91,0.107441681,-0.978894028,0.173846965
584,0,92,-0.024677801,-0.983344615,0.180067696
579,0,93,0.047763062,-0.955559887,0.290902032
367,0,94,0.172831389,-0.944418868,0.279646766
376,0,95,0.296977692,-0.914005276,0.276402977
377,0,96,0.341934286,-0.862614289,0.372796904
368,0,97,0.230400040,-0.898853482,0.372797853
573,0,98,0.114409848,-0.914004421,0.389238108
566,0,99,0.180520936,-0.862614878,0.472554509
719,0,100,0.261226624,-0.803978789,0.534208535
523,0,101,0.360986076,-0.803978502,0.472554357
524,0,102,0.456708392,-0.738170521,0.496509542
717,0,103,0.449628887,-0.663585163,0.597903499
718,0,104,0.353394553,-0.740372527,0.571804872
725,0,105,0.333699313,-0.663585340,0.669551540
731,0,106,0.306607183,-0.569356017,0.762775040
736,0,107,0.272471653,-0.460468933,0.844823982
740,0,108,0.232898992,-0.342506911,0.910190681
744,0,109,0.105308915,-0.324108179,0.940140373
741,0,110,0.143824400,-0.442640694,0.885089690
737,0,111,0.180313877,-0.554946701,0.812109023
732,0,112,0.212750402,-0.654785658,0.725253755
726,0,113,0.239845313,-0.738168790,0.630540295
748,0,114,0.149278607,-0.806693537,0.571805417
565,0,115,0.064400574,-0.865639073,0.496509376
572,0,116,-0.010202940,-0.913446173,0.406831646
578,0,117,-0.085176639,-0.949399045,0.302301826
583,0,118,-0.162948696,-0.969015582,0.185624686
577,0,119,-0.224393434,-0.924372771,0.308516721
571,0,120,-0.143938659,-0.896696294,0.418589797
564,0,121,-0.062950832,-0.855095875,0.514634081
749,0,122,0.026287362,-0.801137154,0.597903199
756,0,123,0.120077260,-0.732995473,0.669551408
763,0,124,0.086608805,-0.640837386,0.762775432
769,0,125,0.050223143,-0.532681457,0.844824302
774,0,126,0.012900679,-0.413989864,0.910190071
778,0,127,-0.023218459,-0.291973569,0.956144517
746,0,128,0.067014049,-0.206249004,0.976202062
747,0,129,0.030826990,-0.094875234,0.995011752
781,0,130,-0.056417295,-0.173631950,0.983193285
779,0,131,-0.152834358,-0.249860195,0.956144101
775,0,132,-0.121646069,-0.374388890,0.919257958
771,0,133,-0.223602228,-0.454415993,0.862269186
770,0,134,-0.086201781,-0.499059184,0.862269786
764,0,135,-0.048226282,-0.615937056,0.786317855
757,0,136,-0.009996902,-0.718013469,0.695957413
750,0,137,-0.106359916,-0.781036815,0.615360920
563,0,138,-0.196217597,-0.828514917,0.524463237
570,0,139,-0.280047324,-0.861897074,0.422737424
576,0,140,-0.361794013,-0.879728569,0.308516998
569,0,141,-0.410615137,-0.810048338,0.418589177
562,0,142,-0.328243464,-0.785617243,0.524463322
751,0,143,-0.242083653,-0.745054224,0.621522090
758,0,144,-0.147646886,-0.688172920,0.710364997
765,0,145,-0.187592035,-0.577350192,0.794654632
766,0,146,-0.323022853,-0.526649517,0.786318334
760,0,147,-0.413950693,-0.586760666,0.695957431
759,0,148,-0.285047539,-0.643528341,0.710365521
752,0,149,-0.373036023,-0.694389111,0.615359966
561,0,150,-0.451683518,-0.728789028,0.514634387
568,0,151,-0.528656118,-0.744990479,0.406831533
575,0,152,-0.489132926,-0.818145855,0.302301739
580,0,153,-0.558030767,-0.810047681,0.180067813
585,0,154,-0.503348287,-0.861897355,0.061428418
581,0,155,-0.437744919,-0.879728899,0.185624486
582,0,156,-0.303531011,-0.934172479,0.187591857
586,0,157,-0.376299750,-0.924371793,0.062731863
587,0,158,-0.238899609,-0.969015831,0.062731941
588,0,159,-0.099393947,-0.993150237,0.061428411
