FaceID,strip,strip_num,x,y,z
409,0,0,43.0696,-12.2729,2.6488
627,0,1,44.3375,-6.2891,2.6222
626,0,2,44.7757,0.0,2.6468
625,0,3,44.3375,6.2891,2.6222
264,0,4,43.0696,12.2729,2.6488
267,0,5,43.2629,8.9879,7.8005
266,0,6,41.4392,11.2111,13.0526
268,0,7,40.6042,7.7935,17.471
7,0,8,37.8442,9.2571,22.2849
16,0,9,34.5517,9.9863,26.8276
25,0,10,32.9443,5.0392,30.0424
17,0,11,36.5069,4.8167,25.6656
8,0,12,39.3395,4.2598,21.2172
18,0,13,37.9554,0.0,23.9854
26,0,14,34.8363,0.0,28.3006
33,0,15,30.8921,0.0,32.5421
32,0,16,28.5403,5.1882,34.2166
38,0,17,23.4196,5.2409,37.8936
43,0,18,17.8407,5.1882,40.8294
44,0,19,20.8798,0.0,39.7072
39,0,20,26.1775,0.0,36.4331
216,0,21,23.4196,-5.2409,37.8936
211,0,22,28.5403,-5.1882,34.2166
205,0,23,32.9443,-5.0392,30.0424
198,0,24,36.5069,-4.8167,25.6656
190,0,25,39.3395,-4.2598,21.2172
191,0,26,37.8442,-9.2571,22.2849
199,0,27,34.5517,-9.9863,26.8276
206,0,28,30.4909,-10.3785,31.2164
212,0,29,25.6014,-10.5924,35.2623
207,0,30,27.3044,-15.8338,31.8562
200,0,31,31.8467,-15.3642,27.6039
192,0,32,35.6174,-14.5428,23.0916
193,0,33,32.6297,-19.8579,23.5287
201,0,34,28.4275,-20.6538,27.8777
208,0,35,23.4963,-21.0751,31.8562
213,0,36,22.0219,-15.9999,35.6322
217,0,37,20.0903,-10.5924,38.6683
220,0,38,17.8407,-5.1882,40.8294
48,0,39,15.2912,0.0,42.184
51,0,40,9.7335,0.0,43.815
53,0,41,4.479,0.0,44.675
225,0,42,6.6296,-4.8167,44.1308
223,0,43,12.1376,-5.0392,42.9017
224,0,44,8.5433,-9.9863,42.9017
221,0,45,14.2848,-10.3785,41.2323
218,0,46,16.2822,-15.8338,38.6683
214,0,47,17.9852,-21.0751,35.2623
209,0,48,19.2928,-25.7915,31.2164
202,0,49,24.4534,-25.5402,27.6039
194,0,50,28.9691,-24.8962,23.5287
195,0,51,24.8374,-29.3802,23.0916
445,0,52,24.4613,-32.8891,18.2543
441,0,53,28.8668,-28.7467,18.7771
436,0,54,32.8857,-23.8928,18.9614
430,0,55,36.2601,-18.5707,18.7771
423,0,56,38.8384,-13.1007,18.2543
415,0,57,40.6042,-7.7935,17.471
406,0,58,41.579,-2.6327,16.7382
270,0,59,41.579,2.6327,16.7382
269,0,60,42.7109,5.7212,12.5514
628,0,61,44.0885,3.0575,7.7541
630,0,62,43.1365,0.0,12.4064
629,0,63,44.0885,-3.0575,7.7541
407,0,64,42.7109,-5.7212,12.5514
408,0,65,43.2629,-8.9879,7.8005
416,0,66,41.4392,-11.2111,13.0526
424,0,67,39.3194,-16.7928,13.5594
417,0,68,41.6099,-14.6839,8.0775
425,0,69,39.0704,-20.3782,8.3243
431,0,70,36.3148,-22.3802,13.8354
437,0,71,32.5067,-27.6216,13.8354
442,0,72,28.1213,-32.2057,13.5594
443,0,73,26.8234,-35.0358,8.0775
439,0,74,29.7906,-33.4186,2.7553
438,0,75,31.4542,-30.8609,8.3243
432,0,76,35.6322,-25.8883,8.4116
433,0,77,34.2098,-28.8589,2.8132
426,0,78,38.0178,-23.6175,2.8132
418,0,79,40.9887,-18.0056,2.7553
410,0,80,42.0579,-15.3867,-2.6488
419,0,81,39.5665,-20.973,-2.6222
427,0,82,36.2243,-26.3185,-2.6468
434,0,83,32.1732,-31.1489,-2.6222
440,0,84,27.6302,-35.2446,-2.6488
435,0,85,29.7175,-32.7007,-7.8005
574,0,86,26.9353,-33.4273,-13.0526
567,0,87,28.2686,-30.1717,-17.471
560,0,88,25.1754,-29.7334,-22.2849
753,0,89,22.0831,-28.3881,-26.8276
761,0,90,23.6905,-23.441,-30.0424
754,0,91,26.7036,-25.355,-25.6656
559,0,92,29.3225,-26.5695,-21.2172
422,0,93,32.0907,-26.5695,-16.7382
429,0,94,31.191,-29.7334,-12.5514
428,0,95,33.8712,-28.3881,-7.7541
420,0,96,37.4655,-23.441,-7.7541
421,0,97,34.8982,-25.355,-12.4064
413,0,98,35.1856,-22.3096,-16.7382
412,0,99,37.9167,-20.4763,-12.5514
411,0,100,40.2834,-18.1579,-7.8005
615,0,101,40.1147,-15.2874,-13.0526
609,0,102,37.4304,-17.5615,-17.471
602,0,103,34.3302,-19.6769,-21.2172
755,0,104,30.7066,-22.3096,-23.9854
762,0,105,28.1832,-20.4763,-28.3006
784,0,106,32.3659,-17.5615,-25.6656
601,0,107,36.0578,-14.7551,-22.2849
608,0,108,39.1213,-12.2299,-18.2543
600,0,109,37.3631,-9.17,-23.0916
785,0,110,33.8228,-12.2299,-26.8276
791,0,111,29.6145,-15.2874,-30.0424
768,0,112,24.9923,-18.1579,-32.5421
767,0,113,20.04,-20.973,-34.2166
772,0,114,15.8663,-18.0056,-37.8936
776,0,115,11.3838,-14.6839,-40.8294
777,0,116,16.8921,-12.2729,-39.7072
773,0,117,21.178,-15.3867,-36.4331
797,0,118,26.1392,-12.5782,-34.2166
792,0,119,30.768,-9.5257,-31.2164
786,0,120,34.7954,-6.2891,-27.6039
599,0,121,38.0702,-3.1139,-23.5287
607,0,122,40.2506,-6.2891,-18.7771
614,0,123,41.6806,-9.5257,-13.5594
620,0,124,42.2941,-12.5782,-8.0775
619,0,125,43.5866,-6.4787,-8.3243
613,0,126,42.5341,-3.2394,-13.8354
606,0,127,40.6489,0.0,-18.9614
598,0,128,38.0702,3.1139,-23.5287
787,0,129,35.1384,0.0,-27.8777
793,0,130,31.3966,-3.2394,-31.8562
798,0,131,26.938,-6.4787,-35.2623
802,0,132,22.0273,-9.5257,-37.8936
806,0,133,17.483,-6.2891,-40.8294
780,0,134,12.3708,-8.9879,-42.184
782,0,135,7.8746,-5.7212,-43.815
783,0,136,3.6236,-2.6327,-44.675
811,0,137,8.1946,0.0,-44.1308
809,0,138,12.7815,-3.0575,-42.9017
810,0,139,12.7815,3.0575,-42.9017
807,0,140,17.657,0.0,-41.2323
803,0,141,22.4794,-3.2394,-38.6683
804,0,142,22.4794,3.2394,-38.6683
799,0,143,27.2206,0.0,-35.6322
800,0,144,26.938,6.4787,-35.2623
794,0,145,31.3966,3.2394,-31.8562
795,0,146,30.768,9.5257,-31.2164
788,0,147,34.7954,6.2891,-27.6039
597,0,148,37.3631,9.17,-23.0916
604,0,149,39.1213,12.2299,-18.2543
605,0,150,40.2506,6.2891,-18.7771
611,0,151,41.6806,9.5257,-13.5594
616,0,152,42.2941,12.5782,-8.0775
621,0,153,43.744,9.5257,-2.7553
617,0,154,43.5866,6.4787,-8.3243
612,0,155,42.5341,3.2394,-13.8354
618,0,156,44.0439,0.0,-8.4116
622,0,157,44.6391,3.2394,-2.8132
623,0,158,44.6391,-3.2394,-2.8132
624,0,159,43.744,-9.5257,-2.7553
229,1,0,24.9815,37.1691,2.6488
483,1,1,19.6823,40.224,2.6222
482,1,2,13.8365,42.5842,2.6468
481,1,3,7.7198,44.1109,2.6222
309,1,4,1.637,44.7542,2.6488
312,1,5,4.821,43.9229,7.8005
311,1,6,2.143,42.8754,13.0526
313,1,7,5.1353,41.0252,17.471
62,1,8,2.8905,38.8526,22.2849
70,1,9,1.1795,35.9466,26.8276
78,1,10,5.3878,32.8891,30.0424
71,1,11,6.7003,36.2086,25.6656
63,1,12,8.1053,38.7304,21.2172
10,1,13,11.7289,36.0977,23.9854
19,1,14,10.765,33.1313,28.3006
27,1,15,9.5462,29.3801,32.5421
84,1,16,3.8852,28.7467,34.2166
89,1,17,2.2527,23.8929,37.8936
93,1,18,0.5788,18.5708,40.8294
40,1,19,6.4522,19.8579,39.7072
34,1,20,8.0893,24.8963,36.4331
35,1,21,12.2214,20.6538,37.8936
28,1,22,13.7537,25.5402,34.2166
20,1,23,14.9729,29.7747,30.0424
11,1,24,15.8622,33.2317,25.6656
1,1,25,16.2079,36.0977,21.2172
2,1,26,20.4985,33.1314,22.2849
12,1,27,20.1746,29.7747,26.8276
21,1,28,19.2927,25.7914,31.2164
29,1,29,17.9852,21.0751,35.2623
22,1,30,23.4964,21.0751,31.8562
13,1,31,24.4534,25.5402,27.6039
3,1,32,24.8374,29.3802,23.0916
4,1,33,28.9691,24.8963,23.5287
14,1,34,28.4275,20.6538,27.8777
23,1,35,27.3044,15.8337,31.8562
30,1,36,22.022,15.9998,35.6322
36,1,37,16.2822,15.8338,38.6683
41,1,38,10.4474,15.3643,40.8294
45,1,39,4.7252,14.5428,42.184
49,1,40,3.0078,9.2571,43.815
52,1,41,1.3841,4.2598,44.675
50,1,42,6.6296,4.8167,44.1308
46,1,43,8.5433,9.9863,42.9017
47,1,44,12.1376,5.0392,42.9017
42,1,45,14.2848,10.3785,41.2323
37,1,46,20.0903,10.5924,38.6683
31,1,47,25.6013,10.5924,35.2623
24,1,48,30.491,10.3785,31.2164
15,1,49,31.8467,15.3642,27.6039
5,1,50,32.6296,19.8579,23.5287
